IDCLIENTE;RUT;NOMBRE;APELLIDOPATERNO;APELLIDOMATERNO;TELEFONO;EMAIL;DIRECCION;CIUDAD;CODIGOPOSTAL;FECHAREGISTRO;ESTADO;RUT_CIFRADO;EMAIL_CIFRADO
21550;XX.XXX.XXX-X;Rebeca;Barrera;Bustamante;+56915872821;cmbxwm437@mailserver.io;Ruta Colón 5944 dpto. 2169;Rancagua;3120;2023-12-26;Descartado;XX.XXX.XXX-X;cmbxwm437@mailserver.io
24235;XX.XXX.XXX-X;Lucía;González;Delgado;+56974038185;errlrfmw790@sample.cl;Camino Alvear 8144;El Bosque;9343;2023-12-26;Descartado;XX.XXX.XXX-X;errlrfmw790@sample.cl
22230;XX.XXX.XXX-X;Martín;Zapata;Pacheco;NO DISPONIBLE;cvecten536@sample.cl;Calle Yrigoyen 3680 dpto. 43;Penco;7380;2023-12-25;Descartado;XX.XXX.XXX-X;cvecten536@sample.cl
21871;XX.XXX.XXX-X;Mariana;Orozco;NO DISPONIBLE;+56916405218;vlplor758@testmail.org;Camino Esmeralda 7257 dpto. 366;Punta Arenas;3613;2023-12-14;Descartado;XX.XXX.XXX-X;vlplor758@testmail.org
24525;XX.XXX.XXX-X;Oscar;López;Muñoz;+56960175890;okknizmds774@example.com;Avenida Belgrano 5593;Talca;5031;2023-12-13;Descartado;XX.XXX.XXX-X;okknizmds774@example.com
23028;XX.XXX.XXX-X;Raquel, Padilla;NO DISPONIBLE;NO DISPONIBLE;+56964178682;vjwkvqd349@mailserver.io;Calle Las Heras 6202;Villa Alemana;7098;2023-10-15;Descartado;XX.XXX.XXX-X;vjwkvqd349@mailserver.io
25748;XX.XXX.XXX-X;Ignacio, Gutiérrez;NO DISPONIBLE;NO DISPONIBLE;NO DISPONIBLE;hjsrpyu779@demo.net;Ruta Mitre 7286;Coyhaique;7489;2023-10-13;Descartado;XX.XXX.XXX-X;hjsrpyu779@demo.net
23277;XX.XXX.XXX-X;Teresa;NO DISPONIBLE;NO DISPONIBLE;+56953792326;baxpjtml410@testmail.org;Ruta Larraín 6039;Puente Alto;4813;2023-10-06;Descartado;XX.XXX.XXX-X;baxpjtml410@testmail.org
23501;XX.XXX.XXX-X;Julio;Silva;NO DISPONIBLE;+56999638753;vzqtvr394@demo.net;Avenida San Martín 8125;Valparaíso;5286;2023-09-30;Descartado;XX.XXX.XXX-X;vzqtvr394@demo.net
23820;XX.XXX.XXX-X;Julio;Pérez;Pineda;NO DISPONIBLE;qipanwquq213@demo.net;Avenida Esmeralda 4613;Copiapó;4312;2023-09-28;Descartado;XX.XXX.XXX-X;qipanwquq213@demo.net
